"firstName","familyName","fullName","persoon"
,"Van Mechelen","Van Mechelen","http://kanselarij.vo.data.gift/id/personen/81e43244-dec2-11e9-aa72-0242c0a80002"
,"Stevaert","Stevaert","http://kanselarij.vo.data.gift/id/personen/81f1fc26-dec2-11e9-aa72-0242c0a80002"
,"Dupré","Dupré","http://kanselarij.vo.data.gift/id/personen/8214ed9e-dec2-11e9-aa72-0242c0a80002"
,"Peeters","Peeters","http://kanselarij.vo.data.gift/id/personen/81e1f8ee-dec2-11e9-aa72-0242c0a80002"
,"Sauwens","Sauwens","http://kanselarij.vo.data.gift/id/personen/81f7e578-dec2-11e9-aa72-0242c0a80002"
,"Voorzitter","Voorzitter","http://kanselarij.vo.data.gift/id/personen/8213270c-dec2-11e9-aa72-0242c0a80002"
,"Gabriels","Gabriels","http://kanselarij.vo.data.gift/id/personen/81f21062-dec2-11e9-aa72-0242c0a80002"
,"Galle","Galle","http://kanselarij.vo.data.gift/id/personen/82186b36-dec2-11e9-aa72-0242c0a80002"
,"Detiege","Detiege","http://kanselarij.vo.data.gift/id/personen/8207e7fc-dec2-11e9-aa72-0242c0a80002"
,"Grootjans","Grootjans","http://kanselarij.vo.data.gift/id/personen/82166e6c-dec2-11e9-aa72-0242c0a80002"
,"Batselier","Batselier","http://kanselarij.vo.data.gift/id/personen/8214457e-dec2-11e9-aa72-0242c0a80002"
,"Berckx","Berckx","http://kanselarij.vo.data.gift/id/personen/821a2bba-dec2-11e9-aa72-0242c0a80002"
,"Bossuyt","Bossuyt","http://kanselarij.vo.data.gift/id/personen/81ed71f6-dec2-11e9-aa72-0242c0a80002"
,"Martens","Martens","http://kanselarij.vo.data.gift/id/personen/81fc1760-dec2-11e9-aa72-0242c0a80002"
,"Van Asbroeck","Van Asbroeck","http://kanselarij.vo.data.gift/id/personen/820500aa-dec2-11e9-aa72-0242c0a80002"
,"De Ryck","De Ryck","http://kanselarij.vo.data.gift/id/personen/8217d68a-dec2-11e9-aa72-0242c0a80002"
,"Eyskens Mark","Eyskens Mark","http://kanselarij.vo.data.gift/id/personen/82171c86-dec2-11e9-aa72-0242c0a80002"
,"Schiltz","Schiltz","http://kanselarij.vo.data.gift/id/personen/82188cba-dec2-11e9-aa72-0242c0a80002"
,"Buchman","Buchman","http://kanselarij.vo.data.gift/id/personen/821ad4d4-dec2-11e9-aa72-0242c0a80002"
,"Dua","Dua","http://kanselarij.vo.data.gift/id/personen/81f14448-dec2-11e9-aa72-0242c0a80002"
,"Van der Zwalmen","Van der Zwalmen","http://kanselarij.vo.data.gift/id/personen/82172848-dec2-11e9-aa72-0242c0a80002"
,"Buchmann","Buchmann","http://kanselarij.vo.data.gift/id/personen/8218920a-dec2-11e9-aa72-0242c0a80002"
,"","","http://kanselarij.vo.data.gift/id/personen/82126826-dec2-11e9-aa72-0242c0a80002"
,"Byttebier","Byttebier","http://kanselarij.vo.data.gift/id/personen/81ee5ecc-dec2-11e9-aa72-0242c0a80002"
,"Landuyt","Landuyt","http://kanselarij.vo.data.gift/id/personen/81ece92a-dec2-11e9-aa72-0242c0a80002"
,"Van den Brande - Minister-president","Van den Brande - Minister-president","http://kanselarij.vo.data.gift/id/personen/820e5b6e-dec2-11e9-aa72-0242c0a80002"
,"Grouwels","Grouwels","http://kanselarij.vo.data.gift/id/personen/81fe2d3e-dec2-11e9-aa72-0242c0a80002"
,"Vanderpoorten","Vanderpoorten","http://kanselarij.vo.data.gift/id/personen/81ef5f2a-dec2-11e9-aa72-0242c0a80002"
,"Van Brempt","Van Brempt","http://kanselarij.vo.data.gift/id/personen/81e1ecd2-dec2-11e9-aa72-0242c0a80002"
,"poma","poma","http://kanselarij.vo.data.gift/id/personen/821a6f8a-dec2-11e9-aa72-0242c0a80002"
,"Eyskens","Eyskens","http://kanselarij.vo.data.gift/id/personen/821c8e32-dec2-11e9-aa72-0242c0a80002"
,"Coenen","Coenen","http://kanselarij.vo.data.gift/id/personen/821a5914-dec2-11e9-aa72-0242c0a80002"
,"Haverland","Haverland","http://kanselarij.vo.data.gift/id/personen/821db0dc-dec2-11e9-aa72-0242c0a80002"
,"Van Den Brande","Van Den Brande","http://kanselarij.vo.data.gift/id/personen/820d238e-dec2-11e9-aa72-0242c0a80002"
,"Toussaint","Toussaint","http://kanselarij.vo.data.gift/id/personen/821b8956-dec2-11e9-aa72-0242c0a80002"
"Ludo","Sannen","Ludo Sannen","http://kanselarij.vo.data.gift/id/personen/81ee9342-dec2-11e9-aa72-0242c0a80002"
"Hugo","Weckx","Hugo Weckx","http://kanselarij.vo.data.gift/id/personen/82033fb8-dec2-11e9-aa72-0242c0a80002"
"Paul","Van Grembergen","Paul Van Grembergen","http://kanselarij.vo.data.gift/id/personen/81ecc59e-dec2-11e9-aa72-0242c0a80002"
"Leo","Peeters","Leo Peeters","http://kanselarij.vo.data.gift/id/personen/81fbf960-dec2-11e9-aa72-0242c0a80002"
"Veerle","Heeren","Veerle Heeren","http://kanselarij.vo.data.gift/id/personen/81ddc846-dec2-11e9-aa72-0242c0a80002"
"Marleen","Vanderpoorten","Marleen Vanderpoorten","http://kanselarij.vo.data.gift/id/personen/81ecc95e-dec2-11e9-aa72-0242c0a80002"
"Bart","Somers","Bart Somers","http://kanselarij.vo.data.gift/id/personen/81eccf44-dec2-11e9-aa72-0242c0a80002"
"Luc","Martens","Luc Martens","http://kanselarij.vo.data.gift/id/personen/81fc07e8-dec2-11e9-aa72-0242c0a80002"
"Anne","Van Asbroeck","Anne Van Asbroeck","http://kanselarij.vo.data.gift/id/personen/8200a258-dec2-11e9-aa72-0242c0a80002"
"Jaak","Gabriels","Jaak Gabriels","http://kanselarij.vo.data.gift/id/personen/81f13868-dec2-11e9-aa72-0242c0a80002"
"Louis","Waltniel","Louis Waltniel","http://kanselarij.vo.data.gift/id/personen/820f08fc-dec2-11e9-aa72-0242c0a80002"
"Bert","Anciaux","Bert Anciaux","http://kanselarij.vo.data.gift/id/personen/81ddbe50-dec2-11e9-aa72-0242c0a80002"
"Guy","Vanhengel","Guy Vanhengel","http://kanselarij.vo.data.gift/id/personen/81f1565e-dec2-11e9-aa72-0242c0a80002"
"Jan","Lenssens","Jan Lenssens","http://kanselarij.vo.data.gift/id/personen/820f0eba-dec2-11e9-aa72-0242c0a80002"
"Inge","Vervotte","Inge Vervotte","http://kanselarij.vo.data.gift/id/personen/81def414-dec2-11e9-aa72-0242c0a80002"
"Mieke","Vogels","Mieke Vogels","http://kanselarij.vo.data.gift/id/personen/81f13318-dec2-11e9-aa72-0242c0a80002"
"Brigitte","Grouwels","Brigitte Grouwels","http://kanselarij.vo.data.gift/id/personen/81fc4b40-dec2-11e9-aa72-0242c0a80002"
"Steve","Stevaert","Steve Stevaert","http://kanselarij.vo.data.gift/id/personen/81f1e056-dec2-11e9-aa72-0242c0a80002"
"Daniël","Coens","Daniël Coens","http://kanselarij.vo.data.gift/id/personen/820f1784-dec2-11e9-aa72-0242c0a80002"
"Bart","Tommelein","Bart Tommelein","http://kanselarij.vo.data.gift/id/personen/81a42adc-dec2-11e9-aa72-0242c0a80002"
"Eddy","Baldewijns","Eddy Baldewijns","http://kanselarij.vo.data.gift/id/personen/81fbe0b0-dec2-11e9-aa72-0242c0a80002"
"Adelheid","Byttebier","Adelheid Byttebier","http://kanselarij.vo.data.gift/id/personen/81ecdb9c-dec2-11e9-aa72-0242c0a80002"
"Eric","Van Rompuy","Eric Van Rompuy","http://kanselarij.vo.data.gift/id/personen/81fbe6b4-dec2-11e9-aa72-0242c0a80002"
,"akkermans","akkermans","http://kanselarij.vo.data.gift/id/personen/821a75ca-dec2-11e9-aa72-0242c0a80002"
,"Van Grembergen","Van Grembergen","http://kanselarij.vo.data.gift/id/personen/81ecec18-dec2-11e9-aa72-0242c0a80002"
,"Vandenbroucke","Vandenbroucke","http://kanselarij.vo.data.gift/id/personen/81e1c284-dec2-11e9-aa72-0242c0a80002"
,"Schitlz","Schitlz","http://kanselarij.vo.data.gift/id/personen/821bb976-dec2-11e9-aa72-0242c0a80002"
,"Vermeulen","Vermeulen","http://kanselarij.vo.data.gift/id/personen/82165030-dec2-11e9-aa72-0242c0a80002"
,"Fleerackers","Fleerackers","http://kanselarij.vo.data.gift/id/personen/82186fb4-dec2-11e9-aa72-0242c0a80002"
,"Van Rompuy","Van Rompuy","http://kanselarij.vo.data.gift/id/personen/81fdb070-dec2-11e9-aa72-0242c0a80002"
,"De Batselier.","De Batselier.","http://kanselarij.vo.data.gift/id/personen/8213719e-dec2-11e9-aa72-0242c0a80002"
,"Remion","Remion","http://kanselarij.vo.data.gift/id/personen/821ae0e6-dec2-11e9-aa72-0242c0a80002"
,"Baldewijns","Baldewijns","http://kanselarij.vo.data.gift/id/personen/81fcfacc-dec2-11e9-aa72-0242c0a80002"
,"Molitor","Molitor","http://kanselarij.vo.data.gift/id/personen/821bd35c-dec2-11e9-aa72-0242c0a80002"
,"Grauls","Grauls","http://kanselarij.vo.data.gift/id/personen/821b0058-dec2-11e9-aa72-0242c0a80002"
,"Breyne","Breyne","http://kanselarij.vo.data.gift/id/personen/8214b77a-dec2-11e9-aa72-0242c0a80002"
,"Van Der Zwalmen","Van Der Zwalmen","http://kanselarij.vo.data.gift/id/personen/8217c7d0-dec2-11e9-aa72-0242c0a80002"
,"Willy D_havé","Willy D_havé","http://kanselarij.vo.data.gift/id/personen/821d615e-dec2-11e9-aa72-0242c0a80002"
,"Verhofstadt","Verhofstadt","http://kanselarij.vo.data.gift/id/personen/8217067e-dec2-11e9-aa72-0242c0a80002"
,"Detiège","Detiège","http://kanselarij.vo.data.gift/id/personen/820cbb60-dec2-11e9-aa72-0242c0a80002"
,"Baeteman","Baeteman","http://kanselarij.vo.data.gift/id/personen/821a217e-dec2-11e9-aa72-0242c0a80002"
,"Tindemans","Tindemans","http://kanselarij.vo.data.gift/id/personen/82178784-dec2-11e9-aa72-0242c0a80002"
,"Crevits","Crevits","http://kanselarij.vo.data.gift/id/personen/81e1b67c-dec2-11e9-aa72-0242c0a80002"
"Waltniel","L.","Waltniel L.","http://kanselarij.vo.data.gift/id/personen/821316ae-dec2-11e9-aa72-0242c0a80002"
"Charles","R.","Charles R.","http://kanselarij.vo.data.gift/id/personen/821d4a2a-dec2-11e9-aa72-0242c0a80002"
"Van den Brande (VR/95/29.03/doc.0227), Van den Brande   (VR/95/29.03/doc.0243),      Peeters","A. B.","Van den Brande (VR/95/29.03/doc.0227), Van den Brande   (VR/95/29.03/doc.0243),      Peeters A. B.","http://kanselarij.vo.data.gift/id/personen/82067746-dec2-11e9-aa72-0242c0a80002"
"Renaat","Landuyt","Renaat Landuyt","http://kanselarij.vo.data.gift/id/personen/81ecc2b0-dec2-11e9-aa72-0242c0a80002"
"Gaston","Geens","Gaston Geens","http://kanselarij.vo.data.gift/id/personen/820ede04-dec2-11e9-aa72-0242c0a80002"
"Jef","Tavernier","Jef Tavernier","http://kanselarij.vo.data.gift/id/personen/81ecd750-dec2-11e9-aa72-0242c0a80002"
"Liesbeth","Homans",,"http://kanselarij.vo.data.gift/id/personen/5D9865BBB158960008000001"
"Jan","Jambon",,"http://kanselarij.vo.data.gift/id/personen/5D9B6BBB6B1B810008000167"
"Zuhal","Demir",,"http://kanselarij.vo.data.gift/id/personen/5D9B6C596B1B81000800016D"
"Wouter","Beke",,"http://kanselarij.vo.data.gift/id/personen/5D9B6C7D6B1B81000800016F"
"Benjamin","Dalle",,"http://kanselarij.vo.data.gift/id/personen/5D9B6D116B1B810008000174"
"Matthias","Diependaele",,"http://kanselarij.vo.data.gift/id/personen/5D9B6CC36B1B810008000171"
,"Dehennin","Dehennin","http://kanselarij.vo.data.gift/id/personen/821b48b0-dec2-11e9-aa72-0242c0a80002"
,"Leterme","Leterme","http://kanselarij.vo.data.gift/id/personen/81ec6dec-dec2-11e9-aa72-0242c0a80002"
,"Roggen","Roggen","http://kanselarij.vo.data.gift/id/personen/82169eb4-dec2-11e9-aa72-0242c0a80002"
,"Leo Peeters","Leo Peeters","http://kanselarij.vo.data.gift/id/personen/8206de16-dec2-11e9-aa72-0242c0a80002"
,"Moerman","Moerman","http://kanselarij.vo.data.gift/id/personen/81e68b5c-dec2-11e9-aa72-0242c0a80002"
,"Dewulf","Dewulf","http://kanselarij.vo.data.gift/id/personen/82143b9c-dec2-11e9-aa72-0242c0a80002"
,"De Boeck","De Boeck","http://kanselarij.vo.data.gift/id/personen/821a162a-dec2-11e9-aa72-0242c0a80002"
,"Naze","Naze","http://kanselarij.vo.data.gift/id/personen/821db884-dec2-11e9-aa72-0242c0a80002"
,"Dehousse","Dehousse","http://kanselarij.vo.data.gift/id/personen/821b1a84-dec2-11e9-aa72-0242c0a80002"
,"Somers","Somers","http://kanselarij.vo.data.gift/id/personen/81ece65a-dec2-11e9-aa72-0242c0a80002"
,"Cultuur","Cultuur","http://kanselarij.vo.data.gift/id/personen/821bab34-dec2-11e9-aa72-0242c0a80002"
,"Vanackere","Vanackere","http://kanselarij.vo.data.gift/id/personen/81e1e70a-dec2-11e9-aa72-0242c0a80002"
,"Van Miert","Van Miert","http://kanselarij.vo.data.gift/id/personen/821b7d1c-dec2-11e9-aa72-0242c0a80002"
,"Deprez","Deprez","http://kanselarij.vo.data.gift/id/personen/821613e0-dec2-11e9-aa72-0242c0a80002"
,"Druyts","Druyts","http://kanselarij.vo.data.gift/id/personen/821d027c-dec2-11e9-aa72-0242c0a80002"
,"Verhasselt","Verhasselt","http://kanselarij.vo.data.gift/id/personen/821b984c-dec2-11e9-aa72-0242c0a80002"
,"Sannen","Sannen","http://kanselarij.vo.data.gift/id/personen/81ef2f8c-dec2-11e9-aa72-0242c0a80002"
,"Baloup","Baloup","http://kanselarij.vo.data.gift/id/personen/821bf652-dec2-11e9-aa72-0242c0a80002"
,"Geens-Schiltz","Geens-Schiltz","http://kanselarij.vo.data.gift/id/personen/821aaf2c-dec2-11e9-aa72-0242c0a80002"
